nateam,birth_date,birth_country_isoCode,birth_country,player_name,player_id,normal_position
curacao,1994-09-29,nl,netherlands,kenji gorré,10519,f
england,1995-12-01,gb-eng,england,josh vickers,11590,g
sweden,1980-06-30,se,sweden,rade prica,3502,f
portugal,1966-02-28,pt,portugal,paulo futre,1294,f
wales,1997-03-24,gb-eng,england,george thomas,8451,f
scotland,1970-08-05,gb-sct,scotland,ray mckinnon,646,d
ecuador,2000-07-24,ec,ecuador,leonardo campana,74562,f
england,1982-11-04,gb-eng,england,neil mellor,2286,f
england,1963-06-11,gb-eng,england,john dreyer,1666,d
england,1976-08-31,gb-eng,england,ashley westwood,1665,d
england,1978-05-22,gb-eng,england,isaiah rankin,1134,f
belgium,1986-01-31,be,belgium,yves ma-kalambay,2450,g
portugal,1991-03-08,ch,switzerland,mika,6045,g
england,1974-12-18,gb-eng,england,philip morgan,980,g
england,1997-09-30,gb-eng,england,brandon mason,19677,d
england,1998-02-25,gb-eng,england,michael folivi,14298,f
england,1971-09-28,gb-eng,england,chris lucketti,3214,d
england,1995-08-04,gb-eng,england,james weir,13563,m
trinidad & tobago,1990-06-06,tt,trinidad & tobago,gavin hoyte,3048,d
england,1974-10-09,gb-eng,england,john eyre,821,f
england,1976-11-11,gb-eng,england,david beresford,736,m
italy,1976-11-25,it,italy,stefano gioacchini,1544,f
england,1965-05-24,gb-eng,england,nicky tanner,255,d
northern ireland,1963-09-08,gb-nir,northern ireland,paul williams,624,d
ireland,1974-10-21,ie,ireland,tony sheridan,141,f
denmark,1977-04-06,dk,denmark,peter degn,1561,m
england,1966-09-18,gb-eng,england,steve talboys,594,m
england,1971-11-11,gb-eng,england,david farrell,49,m
sweden,1971-09-20,se,sweden,henrik larsson,3297,f
croatia,2001-05-11,hr,croatia,karlo ziger,24220,g
england,1979-02-23,gb-eng,england,kevin ellison,1913,m
england,1961-07-27,gb-eng,england,john keeley,648,g
england,1968-01-10,gb-eng,england,gary parkinson,638,d
england,1964-01-22,gb-eng,england,jon gittens,348,d
england,1973-09-19,gb-eng,england,john foster,289,d
scotland,1974-07-08,gb-sct,scotland,allan smart,1797,f
england,1979-09-26,gb-eng,england,david perpetuini,1788,m
england,1969-10-02,gb-eng,england,ray wallace,236,m
england,1995-08-02,gb-eng,england,dominic ball,7485,d
spain,1992-12-03,es,spain,cristian ceballos,4431,m
scotland,1987-03-20,gb-sct,scotland,patrick boyle,2899,d
cameroon,1978-09-25,cm,cameroon,rodolphe m'bela douala,3181,f
switzerland,1986-04-12,mk,north macedonia,blerim dzemaili,3354,m
brazil,1975-08-02,br,brazil,mineiro,3593,m
england,1969-09-02,gb-eng,england,marlon beresford,1583,g
england,1977-11-25,gb-eng,england,wayne andrews,2696,f
brazil,1984-04-22,br,brazil,wellington paulista,4691,f
philippines,1991-05-08,ph,philippines,adam tull,3952,m
england,1963-02-11,gb-eng,england,glenn pennyfather,210,m
romania,1975-12-15,ro,romania,cosmin contra,2832,d
england,1977-12-03,gb-eng,england,russ watkinson,1292,f
england,1997-05-14,gb-eng,england,matt butcher,11965,f
england,1975-05-20,gb-eng,england,graham potter,1290,m
ireland,1981-10-04,ie,ireland,alan bennett,3190,d
england,1976-01-16,gb-eng,england,gavin mcgowan,5,d
ireland,1980-03-24,ie,ireland,michael reddy,1767,f
portugal,1988-05-26,pt,portugal,orlando sá,4307,f
australia,1989-06-12,au,australia,shane lowry,3325,d
england,1972-02-09,gb-eng,england,steve banks,2028,g
france,1984-05-21,fr,france,leandre griffit,2563,m
england,1999-02-15,gb-eng,england,george hirst,14283,f
northern ireland,1969-07-05,gb-nir,northern ireland,michael o'neill,1157,m
norway,1988-02-16,no,norway,vegard forren,4607,d
england,1988-09-22,gb-eng,england,nicky featherstone,3636,f
ghana,1986-04-15,nl,netherlands,quincy owusu-abeyie,2419,m
england,1980-04-18,gb-eng,england,richard jackson,1548,d
scotland,2002-11-06,gb-eng,england,elliot anderson,51593,m
england,2003-09-23,gb-eng,england,ryan finnigan,78267,m
bulgaria,1986-02-15,bg,bulgaria,valeri emilov bozhinov,3438,f
brazil,1983-08-05,br,brazil,gláuber,3655,d
greece,1993-12-02,gr,greece,konstantinos stafylidis,4988,d
england,1997-05-02,gb-eng,england,carl stewart,14293,m
guinea-bissau,1993-05-06,gw,guinea-bissau,mesca,4784,m
england,1967-07-11,gb-eng,england,kenny brown,790,d
england,1967-01-09,gb-eng,england,dale gordon,794,m
england,2000-02-14,gb-eng,england,tashan oakley-boothe,15140,m
england,1997-04-25,gb-eng,england,liam gibson,13589,d
czech republic,1992-03-12,cz,czech republic,jiri skalak,13232,m
finland,1985-01-23,fi,finland,niki mäenpää,13228,g
england,1972-03-07,gb-eng,england,lee todd,1459,d
england,1980-10-28,gb-eng,england,lee roche,1716,d
senegal,1982-10-25,fr,france,mickaël tavares,4704,m
netherlands,1976-06-06,nl,netherlands,laurens ten heuvel,1480,f
scotland,1966-10-29,gb-sct,scotland,ian durrant,979,m
united states,1981-11-03,us,united states,jermaine jones,4054,m
israel,1981-01-27,il,israel,yaniv katan,3018,f
scotland,1993-03-27,gb-sct,scotland,fraser fyvie,4700,m
slovenia,1995-08-18,si,slovenia,gregor zabret,4834,g
england,1988-05-29,gb-eng,england,seb hines,3165,d
france,1985-03-28,cd,dr congo,steve mandanda,5566,g
denmark,2001-01-17,dk,denmark,andreas söndergaard,49158,g
england,1994-11-21,gb-eng,england,josh passley,8708,d
sweden,1995-02-22,se,sweden,muamer tankovic,4310,f
england,1996-02-02,gb-eng,england,greg olley,14194,m
england,1995-10-01,de,germany,sean goss,13562,m
italy,1971-07-24,it,italy,dino baggio,2595,m
england,2003-04-04,gb-eng,england,harvey elliott,33185,m
belgium,1997-09-24,be,belgium,dodi lukébakio,16088,m
wales,1993-03-01,gb-wls,wales,gwion edwards,4419,m
ireland,1999-05-18,ie,ireland,mark travers,50453,g
united states,1996-04-09,us,united states,emerson hyndman,10734,m
nigeria,1999-11-07,ng,nigeria,nnamdi ofoborh,50463,m
italy,1973-04-12,it,italy,christian panucci,1989,d
scotland,1976-08-21,gb-sct,scotland,greg shields,1988,d
england,1976-12-10,gb-eng,england,adam rachel,1138,g
argentina,1971-10-05,ar,argentina,mauricio pellegrino,2714,d
portugal,2002-08-30,pt,portugal,fábio carvalho,32289,m
bulgaria,2001-09-13,gb-eng,england,sylvester jasper,30527,f
australia,2000-07-16,au,australia,tyrese francois,24704,m
england,2000-07-13,ci,cote d’ivoire,marc guéhi,14569,d
scotland,1974-10-13,gb-sct,scotland,mick galloway,983,m
france,1981-07-15,fr,france,alou diarra,2283,m
england,1980-09-12,gb-eng,england,kevin mcleod,1885,m
england,1986-12-09,gb-eng,england,mark hughes,2902,m
scotland,1970-01-06,gb-sct,scotland,john hendry,579,f
ukraine,1970-01-11,ua,ukraine,alex evtushok,1285,d
algeria,1976-03-27,dz,algeria,djamel belmadi,2301,m
england,1997-08-30,gb-eng,england,dael fry,13570,d
england,1984-12-31,gb-eng,england,jamie slabber,2146,f
england,1961-08-10,gb-eng,england,colin pates,4,d
england,1994-01-03,gb-eng,england,james husband,8598,d
england,1973-01-22,gb-eng,england,stewart castledine,808,m
england,1998-11-27,gb-eng,england,luke dreher,13340,m
croatia,1999-01-17,za,south africa,nikola tavares,24000,d
spain,1990-03-01,es,spain,enric vallès,4049,m
england,1974-12-06,gb-eng,england,rae ingram,698,d
england,1993-12-14,gb-eng,england,josh vela,4094,m
england,1990-02-01,gb-eng,england,joe holt,3777,m
england,1999-07-05,sl,sierra leone,trevoh chalobah,14575,d
england,1994-12-16,gb-eng,england,elliot lee,4692,f
belgium,1990-07-12,be,belgium,yassine el ghanassy,3332,m
england,1972-09-21,gb-eng,england,neil moore,176,d
england,1991-12-28,gb-eng,england,reece wabara,4144,d
northern ireland,1981-10-09,gb-nir,northern ireland,alan blayney,2328,g
portugal,1997-08-18,pt,portugal,renato sanches,16646,m
france,1983-02-17,fr,france,gérald cid,3531,d
norway,1982-05-25,no,norway,daniel braaten,3356,f
italy,1970-07-30,it,italy,paolo tramezzani,1626,d
netherlands,1992-09-06,nl,netherlands,akwasi asante,4052,f
northern ireland,1974-12-10,gb-nir,northern ireland,steve robinson,573,m
england,1977-09-30,gb-eng,england,chris willmott,1827,d
united states,1992-09-03,us,united states,sebastian lletget,4686,m
england,1991-06-16,gb-eng,england,james shea,3795,g
england,1974-11-13,gb-eng,england,martin smith,1269,f
northern ireland,1987-09-16,gb-nir,northern ireland,kyle lafferty,11004,f
england,2004-08-01,gb-eng,england,alfie devine,77990,m
netherlands,1999-12-04,cw,curacao,tahith chong,20858,m
england,1997-02-23,gb-eng,england,luke amos,15128,m
norway,1991-05-01,so,somalia,abdisalam abdulkadir ibrahim,3911,m
england,1961-11-16,gb-eng,england,dave barnes,475,d
england,1975-05-10,gb-eng,england,neil moss,1243,g
serbia,1978-09-19,rs,serbia,ognjen koroman,2963,m
germany,1986-11-28,de,germany,nick proschwitz,4794,f
wales,1992-06-10,gb-wls,wales,lee lucas,4418,m
south africa,1999-09-18,za,south africa,thakgalo leshabela,23784,m
barbados,1971-07-10,bb,barbados,greg goodridge,1093,m
england,1994-11-01,gb-eng,england,mason springthorpe,4111,g
england,2000-10-21,gb-eng,england,jack young,19963,m
brazil,1982-08-28,br,brazil,anderson silva,3112,m
wales,1973-08-27,gb-wls,wales,danny coyne,2480,g
england,1995-09-11,gb-eng,england,thomas robson,10510,d
england,1996-01-10,gb-eng,england,rees greenwood,13794,m
england,1968-12-22,gb-eng,england,chris greenman,126,d
brazil,1978-11-18,br,brazil,julio santos,2642,d
martinique,1986-06-16,fr,france,bédi buval,2876,m
ireland,1978-09-02,ie,ireland,lee boylan,1281,f
england,1992-05-14,gb-eng,england,louis moult,3947,f
england,1997-11-15,gb-eng,england,michael ledger,15069,m
wales,1994-11-22,gb-wls,wales,liam shephard,10516,d
italy,1971-10-28,it,italy,dario marcolin,1511,m
latvia,1975-08-16,lv,latvia,imants bleidelis,1963,d
england,1988-09-16,gb-eng,england,john johnson,3674,d
england,1992-04-21,gb-eng,england,mark cullen,3898,f
england,1992-11-05,gb-eng,england,cameron lancaster,4436,f
australia,1992-09-25,au,australia,massimo luongo,4432,m
england,1957-10-23,gb-eng,england,graham rix,675,f
england,1981-05-02,gb-eng,england,matt murray,2571,g
scotland,1966-07-25,gb-sct,scotland,darren jackson,1643,m
jamaica,1972-07-03,jm,jamaica,paul hall,1541,m
egypt,1984-11-10,eg,egypt,ahmed fathy,3224,m
england,2003-02-08,gb-eng,england,liam delap,51813,f
ireland,1978-11-16,gb-nir,northern ireland,mark mckeever,1448,m
france,1981-09-12,fr,france,johan cavalli,3265,m
england,1985-03-19,gb-eng,england,osei sankofa,2219,d
finland,1976-07-01,fi,finland,hannu tihinen,1998,d
england,1984-01-10,gb-eng,england,john welsh,2282,m
france,1988-04-14,fr,france,anthony modeste,4271,f
germany,1970-02-03,de,germany,steffen karl,699,d
england,1989-01-12,gb-eng,england,lee tomlin,9134,f
poland,1987-10-17,pl,poland,jaroslaw fojut,2874,d
austria,1998-09-19,at,austria,kevin danso,25892,d
england,1997-04-14,gb-eng,england,callum roberts,10486,m
greece,1972-08-31,gr,greece,kostas konstantinidis,2033,m
wales,1973-06-02,gb-wls,wales,lee powell,542,f
spain,1997-02-02,es,spain,sergi canós,13225,m
england,1997-10-10,gb-eng,england,kieran dowell,10455,m
france,1988-05-22,fr,france,tony andreu,10830,m
england,1985-02-10,gb-eng,england,leon clarke,2593,f
,1990-07-12,pt,portugal,bebé,4162,f
malta,1967-01-14,mt,malta,dylan kerr,233,d
north macedonia,1964-03-30,mk,north macedonia,vlado bozinoski,218,m
scotland,1968-04-20,gb-sct,scotland,paul mcdonald,754,d
australia,1988-07-03,au,australia,james troisi,3174,m
romania,1998-08-30,ro,romania,mihai-alexandru dobre,26556,m
england,1980-01-24,gb-eng,england,james panayi,1782,d
england,1980-01-21,gb-eng,england,gifton noel-williams,1798,f
france,1970-12-01,fr,france,michael debeve,2121,m
greece,1981-08-26,gr,greece,vangelis moras,4469,d
england,1968-08-07,gb-eng,england,vince bartram,838,g
england,2003-11-11,gb-eng,england,jamal baptiste,51695,d
england,2003-07-29,gb-eng,england,frankie maguire,112637,m
scotland,1984-11-27,gb-sct,scotland,andrew barrowman,2428,f
england,2000-07-19,gb-eng,england,lewis gibson,19968,d
poland,1961-10-14,pl,poland,detsi kruszynski,813,m
england,1971-05-30,gb-eng,england,martyn booty,814,d
england,1964-07-30,gb-eng,england,john gayle,682,f
croatia,1997-07-13,hr,croatia,filip benkovic,16671,d
norway,1977-03-08,no,norway,christian kalvenes,4016,d
ghana,1980-09-29,gh,ghana,patrick agyemang,4385,f
belgium,1999-07-09,be,belgium,thibaud verlinden,15044,m
australia,1994-03-08,au,australia,dylan tombides,4215,f
england,1968-05-17,gb-eng,england,lance key,494,g
england,1991-03-02,gb-eng,england,daniel redmond,4225,m
ireland,1978-09-18,ie,ireland,tony folan,1375,m
italy,1979-01-11,it,italy,francesco sanetti,1452,f
england,1986-09-11,gb-eng,england,jason kennedy,2753,m
wales,1980-04-07,gb-wls,wales,carl fletcher,3012,m
wales,1988-12-10,gb-eng,england,simon church,3486,f
scotland,1991-03-02,gb-sct,scotland,jamie ness,4639,m
england,1996-02-02,gb-eng,england,jake flannigan,10500,m
england,1978-10-03,gb-eng,england,stephen melton,1232,m
wales,1975-11-23,gb-wls,wales,christian edwards,1601,d
england,1987-10-22,gb-eng,england,james sinclair,2882,f
germany,1965-04-21,de,germany,thomas helmer,1753,d
england,1981-09-22,gb-eng,england,jonjo dickman,1262,m
united states,1998-05-23,us,united states,luca de la torre,14676,m
england,2000-02-27,gb-eng,england,lewis cass,19951,d
honduras,1977-11-30,hn,honduras,ivan guerrero,1990,d
england,1990-05-15,gb-eng,england,joe mattock,4195,d
england,1995-10-07,gb-eng,england,lloyd jones,4524,d
netherlands,1970-10-22,nl,netherlands,winston bogarde,1857,d
australia,1991-12-10,au,australia,bradden inman,3685,m
england,1976-03-10,gb-eng,england,darren powell,2673,d
england,1968-11-10,gb-eng,england,steve anthrobus,658,f
england,1975-12-24,gb-eng,england,steve guinan,946,f
england,2003-07-11,ca,canada,daniel jebbison,111987,f
nigeria,1980-07-14,ng,nigeria,sam sodje,3188,d
latvia,1991-06-12,lv,latvia,elvijs putnins,4369,g
england,1979-11-04,gb-eng,england,kevin gibbens,1462,m
england,1986-07-11,gb-eng,england,ryan jarvis,2780,f
england,1986-01-26,gb-eng,england,danny crow,2769,d
sweden,1984-03-01,se,sweden,björn runström,3119,f
dr congo,1986-05-31,cd,dr congo,gabriel zakuani,3115,d
england,1998-11-21,bm,bermuda,nathan trott,20051,g
england,1989-09-13,gb-eng,england,bondz n'gala,3763,d
england,1998-10-02,gb-eng,england,jordi osei-tutu,14436,d
slovakia,1989-10-19,sk,slovakia,miroslav stoch,3595,m
italy,1970-02-18,it,italy,massimo taibi,1714,g
england,2002-02-08,gb-eng,england,jaden philogene-bidace,64519,m
belgium,1967-05-25,be,belgium,luc nilis,1987,f
england,1999-12-28,gb-eng,england,tyrese campbell,14804,f
portugal,1977-04-04,pt,portugal,marco almeida,1823,d
england,1969-05-17,gb-eng,england,keith hill,613,d
france,1969-02-07,fr,france,jean michel ferri,1574,m
england,1986-10-15,gb-eng,england,tommy forecast,3504,g
israel,1972-04-26,il,israel,avi nimni,1817,m
france,1968-10-05,fr,france,xavier gravelaine,1826,f
barbados,1979-10-20,bb,barbados,paul ifill,3302,m
netherlands,1993-03-06,nl,netherlands,chris david,4518,m
england,1981-12-21,gb-eng,england,robert betts,1686,m
england,1981-12-11,gb-eng,england,scott kerr,1669,m
england,1980-09-06,gb-eng,england,gareth grant,1671,f
france,1968-01-27,fr,france,patrick blondeau,1488,d
ireland,1989-12-25,ie,ireland,michael liddle,3710,d
england,1991-05-08,gb-eng,england,liam noble,3950,m
spain,1994-01-06,es,spain,denis suárez,4325,m
denmark,1969-02-22,dk,denmark,brian laudrup,1641,f
england,1964-09-22,gb-eng,england,ian ormondroyd,910,f
cyprus,1970-08-31,cy,cyprus,nicos papavasiliou,717,m
ireland,1964-09-05,ie,ireland,liam o'brien,817,m
brazil,1976-07-15,br,brazil,fumaca,1737,m
england,1979-05-13,gb-eng,england,jamie mcclen,1438,m
switzerland,1972-08-14,ch,switzerland,giuseppe mazzarelli,1062,f
england,1991-01-08,gb-eng,england,jacob mellis,3365,m
scotland,1981-02-26,gb-sct,scotland,michael stewart,1721,m
romania,1970-03-17,ro,romania,florin raducioiu,1293,f
cote d’ivoire,2002-07-11,ci,cote d’ivoire,amad diallo,69176,f
slovakia,1985-05-21,sk,slovakia,dusan kuciak,6806,g
england,1996-09-18,gb-eng,england,josh clackstone,14196,m
england,1994-12-06,gb-eng,england,greg luer,10867,f
england,1967-09-06,gb-eng,england,paul moulden,435,f
england,2002-04-06,gb-eng,england,dennis cirkin,51609,d
england,1999-08-24,gb-eng,england,cameron john,15226,d
thailand,2000-01-08,th,thailand,thanawat suengchitthawon,92693,m
austria,1972-06-08,at,austria,christian mayrleb,1450,f
england,1997-11-15,gb-eng,england,george dobson,13874,m
canada,1993-04-20,ca,canada,doneil henry,10534,d
northern ireland,1992-10-26,gb-nir,northern ireland,johnny gorman,4455,m
england,1992-12-19,gb-eng,england,jack price,4452,m
czech republic,1991-03-31,cz,czech republic,jan sebek,3857,g
england,1978-09-13,gb-eng,england,darren ward,1778,d
iceland,1977-12-05,is,iceland,jóhann gudmundsson,1785,m
england,1971-08-11,gb-eng,england,michael jeffrey,724,f
northern ireland,1994-11-01,gb-nir,northern ireland,matthew kennedy,4508,m
england,1996-01-26,gb-eng,england,riccardo calder,10431,m
england,1957-09-29,gb-eng,england,les sealey,310,g
ireland,1976-06-08,ie,ireland,brian launders,872,m
australia,1973-08-07,au,australia,kevin muscat,1486,d
norway,1983-12-09,no,norway,kristofer haestad,3308,m
norway,1991-12-05,no,norway,omar elabdellaoui,4240,d
norway,1972-06-13,no,norway,stig johansen,1490,f
spain,1987-02-09,es,spain,josé crespo,13125,d
wales,1972-08-24,gb-wls,wales,jason bowen,1489,m
england,1998-09-07,gb-eng,england,layton ndukwu,14712,d
england,1997-04-15,gb-eng,england,sam hughes,24625,d
scotland,1974-06-23,gb-sct,scotland,colin cramb,758,f
england,1996-03-24,gb-eng,england,joel taylor,15385,d
portugal,1984-05-27,pt,portugal,filipe oliveira,2234,m
australia,1988-07-14,au,australia,rhys williams,3673,d
england,1995-06-29,gh,ghana,joseph dodoo,10380,f
england,1969-01-30,gb-eng,england,justin skinner,593,m
wales,1988-08-18,gb-wls,wales,lewin nyatanga,3374,d
england,1990-01-02,gb-eng,england,paris simmons,3382,f
england,1989-01-07,gb-eng,england,miles addison,3372,d
ireland,1981-09-26,ie,ireland,graham stack,1828,g
england,1979-08-01,gb-eng,england,phil jevons,1187,f
sweden,1988-05-17,se,sweden,marcus olsson,4268,m
england,1997-09-22,gb-eng,england,jake clarke-salter,11146,d
england,2001-12-06,gb-eng,england,harry tyrer,43940,g
wales,1998-04-05,gb-wls,wales,nathan broadhead,14636,f
england,1984-12-31,gb-eng,england,danny livesey,2207,d
senegal,2000-03-06,fr,france,iliman ndiaye,31936,m
england,1971-07-12,gb-eng,england,tony thomas,1399,d
england,1988-10-06,gb-eng,england,stephen darby,3129,d
england,2002-01-30,gb-eng,england,taylor harwood-bellis,25447,d
scotland,1974-09-06,gb-sct,scotland,david kerr,298,m
kosovo,1996-09-09,xk,kosovo,bersant celina,5559,m
england,1996-10-04,gb-eng,england,brandon barker,10545,m
england,1991-01-19,gb-eng,england,sam winnall,4235,f
ireland,1986-08-17,ie,ireland,marcos painter,2855,d
england,2000-09-11,gb-eng,england,reece hannam,15186,d
northern ireland,2001-08-19,gb-nir,northern ireland,liam hughes,112551,g
poland,2003-02-19,pl,poland,jakub ojrzynski,66557,g
denmark,1990-06-15,dk,denmark,martin hansen,3403,g
england,1990-12-27,gb-eng,england,jay emmanuel-thomas,3554,m
england,1989-09-28,gb-eng,england,mark randall,3056,m
portugal,1987-03-31,fr,france,amaury bischoff,3552,m
netherlands,1997-02-10,nl,netherlands,philippe sandler,33238,d
france,1988-06-12,fr,france,herold goulon,3166,m
germany,2000-10-10,de,germany,felix nmecha,19922,m
belarus,1983-06-14,by,belarus,sergei kornilenko,4090,f
united states,1993-02-16,us,united states,cody cropper,4602,g
england,1984-07-18,gb-eng,england,lee barnard,2361,f
northern ireland,1980-04-14,gb-nir,northern ireland,grant mccann,1637,m
england,1981-05-01,gb-eng,england,danny thomas,1707,m
ireland,1987-02-09,gb-eng,england,joe o'cearuill,3047,d
portugal,1982-09-19,pt,portugal,eduardo,12265,g
scotland,1978-10-25,gb-sct,scotland,russell anderson,3491,d
spain,1982-05-17,es,spain,borja oubiña,3336,m
spain,1980-05-16,es,spain,mikel alonso,3351,m
england,1993-07-31,gb-eng,england,liam o'neil,4439,d
england,1990-01-09,gb-eng,england,nathan porritt,3678,m
england,1992-10-05,gb-eng,england,lee nicholls,3973,g
england,1994-06-07,gb-eng,england,david ferguson,4643,d
england,1993-09-03,gb-eng,england,scott harrison,4644,d
england,1993-10-18,gb-eng,england,adam mitchell,4647,m
england,1967-10-05,gb-eng,england,brian horne,640,g
england,2002-01-26,gb-eng,england,sam greenwood,23911,f
netherlands,2001-10-30,nl,netherlands,crysencio summerville,65961,m
england,1997-01-11,gb-eng,england,demetri mitchell,14822,d
